Date,State,City,M.S,PM10,NO2,SO2
1/7/2023,WB,KOLKATA,Bidhanagar,35,18,11
2/7/2023,WB,KOLKATA,Bidhanagar,39,14,10
3/7/2023,WB,KOLKATA,Bidhanagar,37,16,13
4/7/2023,WB,KOLKATA,Bidhanagar,29,13,10
5/7/2023,WB,KOLKATA,Bidhanagar,20,13,12
6/7/2023,WB,KOLKATA,Bidhanagar,18,14,14
7/7/2023,WB,KOLKATA,Bidhanagar,20,13,10
8/7/2023,WB,KOLKATA,Bidhanagar,21,13,12
9/7/2023,WB,KOLKATA,Bidhanagar,31,15,16
10/7/2023,WB,KOLKATA,Bidhanagar,39,17,14
11/7/2023,WB,KOLKATA,Bidhanagar,32,14,12
12/7/2023,WB,KOLKATA,Bidhanagar,23,15,12
13-07-2023,WB,KOLKATA,Bidhanagar,20,14,14
14-07-2023,WB,KOLKATA,Bidhanagar,30,17,11
15-07-2023,WB,KOLKATA,Bidhanagar,25,16,10
16-07-2023,WB,KOLKATA,Bidhanagar,21,15,15
17-07-2023,WB,KOLKATA,Bidhanagar,20,13,10
18-07-2023,WB,KOLKATA,Bidhanagar,20,13,16
19-07-2023,WB,KOLKATA,Bidhanagar,19,13,12
20-07-2023,WB,KOLKATA,Bidhanagar,18,11,12
21-07-2023,WB,KOLKATA,Bidhanagar,20,11,14
22-07-2023,WB,KOLKATA,Bidhanagar,18,11,13
23-07-2023,WB,KOLKATA,Bidhanagar,20,11,15
24-07-2023,WB,KOLKATA,Bidhanagar,24,15,13
25-07-2023,WB,KOLKATA,Bidhanagar,20,13,10
26-07-2023,WB,KOLKATA,Bidhanagar,18,13,13
27-07-2023,WB,KOLKATA,Bidhanagar,22,12,11
29-07-2023,WB,KOLKATA,Bidhanagar,25,12,14
4/8/2023,WB,KOLKATA,Bidhanagar,52,19,15
5/8/2023,WB,KOLKATA,Bidhanagar,47,18,16
6/8/2023,WB,KOLKATA,Bidhanagar,47,22,16
7/8/2023,WB,KOLKATA,Bidhanagar,47,22,15
8/8/2023,WB,KOLKATA,Bidhanagar,46,29,15
9/8/2023,WB,KOLKATA,Bidhanagar,67,29,15
10/8/2023,WB,KOLKATA,Bidhanagar,96,32,13
11/8/2023,WB,KOLKATA,Bidhanagar,82,31,18
12/8/2023,WB,KOLKATA,Bidhanagar,68,30,14
13-08-2023,WB,KOLKATA,Bidhanagar,54,27,12
14-08-2023,WB,KOLKATA,Bidhanagar,64,32,13
15-08-2023,WB,KOLKATA,Bidhanagar,76,23,19
16-08-2023,WB,KOLKATA,Bidhanagar,74,30,14
17-08-2023,WB,KOLKATA,Bidhanagar,56,29,15
18-08-2023,WB,KOLKATA,Bidhanagar,41,25,11
19-08-2023,WB,KOLKATA,Bidhanagar,22,12,14
20-08-2023,WB,KOLKATA,Bidhanagar,54,12,13
16-08-2023,WB,KOLKATA,Bidhanagar,73,13,12
17-08-2023,WB,KOLKATA,Bidhanagar,56,28,14
18-08-2023,WB,KOLKATA,Bidhanagar,38,24,12
19-08-2023,WB,KOLKATA,Bidhanagar,21,12,14
20-08-2023,WB,KOLKATA,Bidhanagar,55,12,14
21-08-2023,WB,KOLKATA,Bidhanagar,74,14,14
22-08-2023,WB,KOLKATA,Bidhanagar,52,16,12
23-08-2023,WB,KOLKATA,Bidhanagar,53,18,12
24-08-2023,WB,KOLKATA,Bidhanagar,40,26,17
25-08-2023,WB,KOLKATA,Bidhanagar,39,28,13
26-08-2023,WB,KOLKATA,Bidhanagar,51,28,13
27-08-2023,WB,KOLKATA,Bidhanagar,79,21,18
28-08-2023,WB,KOLKATA,Bidhanagar,122,25,17
30-08-2023,WB,KOLKATA,Bidhanagar,135,48,6
31-08-2023,WB,KOLKATA,Bidhanagar,121,29,2
1/9/2023,WB,KOLKATA,Bidhanagar,106,25,9
2/9/2023,WB,KOLKATA,Bidhanagar,89,21,10
3/9/2023,WB,KOLKATA,Bidhanagar,53,26,15
4/9/2023,WB,KOLKATA,Bidhanagar,40,18,15
5/9/2023,WB,KOLKATA,Bidhanagar,33,17,16
6/9/2023,WB,KOLKATA,Bidhanagar,26,12,13
7/9/2023,WB,KOLKATA,Bidhanagar,15,11,15
8/9/2023,WB,KOLKATA,Bidhanagar,5,10,21
9/9/2023,WB,KOLKATA,Bidhanagar,5,10,26
10/9/2023,WB,KOLKATA,Bidhanagar,5,10,34
11/9/2023,WB,KOLKATA,Bidhanagar,5,10,41
12/9/2023,WB,KOLKATA,Bidhanagar,6,10,39
13/09/2023,WB,KOLKATA,Bidhanagar,30,13,16
